Route Number,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,44,44,44,44,44,35,35
101,10,10,10,10,10,12,10
103,12,12,12,12,12,12,14
106,16,16,16,16,16,16,16
109,17,17,17,17,17,17,17
109A,7,7,7,7,7,7,7
110,16,16,16,16,16,16,16
117,16,16,16,16,16,16,16
119,17,17,17,17,17,17,17
120,29,29,29,29,29,29,29
121,2,2,2,2,2,2,2
122,31,31,31,31,31,16,16
124,17,17,17,17,17,17,17
13,49,49,49,49,49,47,45
130,15,15,15,15,15,15,15
133,33,33,33,33,33,33,17
135,15,15,15,15,15,15,15
13A,75,75,75,75,75,46,44
14,50,50,50,50,50,46,44
15,35,35,35,35,35,35,35
150,6,6,6,6,6,,
16,49,49,49,49,49,45,45
181,15,15,15,15,15,15,15
182,15,15,15,15,15,15,15
186,32,32,32,32,32,32,32
2,34,34,34,34,34,36,36
201,13,13,13,13,13,13,13
202,30,30,30,30,30,18,18
203,29,29,29,29,29,17,17
204,15,15,15,15,15,15,15
206,15,15,15,15,15,15,15
209,15,15,15,15,15,15,15
21,44,44,44,44,44,33,33
210,16,16,16,16,16,16,16
212,39,39,39,39,39,59,32
213,14,14,14,14,14,14,14
218,15,15,15,15,15,15,15
22,48,48,48,48,48,34,34
221,32,32,32,32,32,60,32
222,47,47,47,47,47,53,30
223,14,14,14,14,14,45,14
225,16,16,16,16,16,45,16
226,16,16,16,16,16,16,16
233,15,15,15,15,15,15,15
238,15,15,15,15,15,15,15
24,34,34,34,34,34,34,34
25,17,17,17,17,17,17,17
250,16,16,16,16,16,16,16
260,14,14,14,14,14,14,14
280,15,15,15,15,15,15,15
3,35,35,35,35,35,35,35
300,13,13,13,13,13,2,2
31,63,63,63,63,63,50,50
32,21,21,21,21,21,18,17
35,34,34,34,34,34,34,34
4,34,34,34,34,34,34,32
41,29,29,29,29,29,25,25
42,26,26,26,26,26,20,20
43,34,34,34,34,34,17,17
44,31,31,31,31,31,31,31
45,35,35,35,35,35,35,35
46,33,33,33,33,33,17,17
47,19,19,19,19,19,17,17
48,78,78,78,78,78,36,36
50,14,14,14,14,14,,
51,33,33,33,33,33,33,33
52,33,33,33,33,33,33,33
53,21,21,21,21,21,21,18
54,49,49,49,49,49,35,35
56,10,10,10,10,10,10,10
58,30,30,30,30,30,18,18
58A,18,18,18,18,18,18,18
61,65,65,65,65,65,35,35
62,60,60,60,60,60,35,35
63,36,36,36,36,36,17,17
64,32,32,32,32,32,17,16
71,50,50,50,50,50,36,36
72,51,51,51,51,51,35,35
73,45,45,45,45,45,31,30
74,17,17,17,17,17,15,14
80,16,16,16,16,16,16,16
82,68,68,68,68,68,49,49
83,33,33,33,33,33,18,18
84,36,36,36,36,36,32,30
85,15,15,15,15,15,16,16
88,35,35,35,35,35,35,35
90,14,14,14,14,14,,
91,77,77,77,77,77,50,50
92,31,31,31,31,31,17,17
93,18,18,18,18,18,18,18
94,32,32,32,32,32,31,31
X1,26,25,25,25,25,25,25
X1A,2,2,2,2,2,,
X2,18,18,18,18,18,18,18
X3,18,18,18,18,18,18,18
X300,3,2,2,2,3,,
X4,43,43,43,43,43,39,35
