Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
X1,Ajruport - Cirkewwa,Airport 1,Hal Luqa,Monday,05:08,05:38,05:53,06:38,07:23,08:13,08:58,09:43,10:28,11:13,11:58,12:43,13:28,14:13,14:53,15:38,16:18,17:03,17:48,18:48,19:33,20:08,20:53,21:38,22:14,22:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,26,Airport 1 - Hal Luqa - MALTA STOP,14.495967,35.8494118,Stop_0,Stop_1,Stop_0_to_Stop_1,1
X1,Ajruport - Cirkewwa,Sptar 1,Mater Dei,Monday,05:27,05:59,06:14,07:05,07:50,08:40,09:21,10:06,10:51,11:38,12:23,13:08,13:53,14:38,15:18,16:03,16:43,17:28,18:12,19:12,19:52,20:27,21:12,21:57,22:33,23:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,26,Sptar 1 - Mater Dei - MALTA STOP,14.4756107,35.9019175,Stop_7,Stop_8,Stop_7_to_Stop_8,0
X1,Ajruport - Cirkewwa,Sptar 2,Mater Dei,Monday,05:28,05:59,06:14,07:05,07:50,08:40,09:21,10:06,10:51,11:38,12:23,13:08,13:53,14:38,15:18,16:03,16:44,17:29,18:12,19:12,19:52,20:27,21:12,21:57,22:33,23:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,26,Sptar 2 - Mater Dei - MALTA STOP,14.4756147,35.9017712,Stop_8,Stop_9,Stop_8_to_Stop_9,0
X1,Ajruport - Cirkewwa,Qroqq 3,L-Imsida,Monday,05:30,06:02,06:17,07:09,07:54,08:44,09:24,10:09,10:54,11:41,12:26,13:11,13:56,14:41,15:21,16:06,16:47,17:32,18:16,19:16,19:54,20:29,21:14,21:59,22:35,23:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,26,Qroqq 3 - L-Imsida - MALTA STOP,14.4849531,35.9000773,Stop_9,Stop_10,Stop_9_to_Stop_10,0
X1,Ajruport - Cirkewwa,Caghaq,Bahar ic-Caghaq,Monday,05:43,06:16,06:31,07:27,08:12,09:02,09:39,10:24,11:09,11:58,12:43,13:28,14:13,14:58,15:38,16:23,17:04,17:49,18:32,19:32,20:07,20:42,21:27,22:12,22:48,23:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,26,Caghaq - Bahar ic-Caghaq - MALTA STOP,14.4564603,35.9388912,Stop_12,Stop_13,Stop_12_to_Stop_13,0
X1,Ajruport - Cirkewwa,Ghadira,Il-Mellieha,Monday,06:13,06:48,07:03,08:08,08:53,09:43,10:14,10:59,11:44,12:35,13:20,14:05,14:50,15:35,16:15,17:00,17:43,18:28,19:09,20:09,20:36,21:11,21:56,22:41,23:17,23:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,26,Ghadira - Il-Mellieha - MALTA STOP,14.3496861,35.9693123,Stop_20,Stop_21,Stop_20_to_Stop_21,0
X1,Cirkewwa - Ajruport,Sptar 3,Mater Dei,Monday,06:41,08:02,08:32,09:02,09:25,10:10,10:55,11:40,12:25,13:10,13:55,14:40,15:18,16:03,16:48,17:33,18:18,19:03,19:40,20:25,21:10,21:55,22:33,23:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,24,Sptar 3 - Mater Dei - MALTA STOP,14.4754663,35.9017872,Stop_27,Stop_4,Stop_27_to_Stop_4,0
X1,Cirkewwa - Ajruport,Airport 3,Hal Luqa,Monday,07:05,08:30,09:00,09:30,09:50,10:35,11:20,12:05,12:50,13:35,14:20,15:05,15:40,16:25,17:10,17:55,18:40,19:25,20:00,20:45,21:30,22:15,22:50,23:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,24,Airport 3 - Hal Luqa - MALTA STOP,14.4967201,35.8488557,Stop_29,,,1
119,Ajruport - Marsaskala,Despott,Birzebbuga,"Monday, Tuesday, Wednesday, Thursday, Friday",06:20,07:20,08:20,09:20,10:20,11:20,12:20,13:22,14:22,15:22,16:22,17:22,18:22,19:22,20:17,21:17,22:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Despott - Birzebbuga - MALTA STOP,14.5298548,35.8205361,Stop_42,Stop_43,Stop_42_to_Stop_43,0
119,Ajruport - Marsaskala,Birzebbuga 2,Birzebbuga,"Monday, Tuesday, Wednesday, Thursday, Friday",06:21,07:21,08:21,09:21,10:21,11:21,12:21,13:22,14:22,15:22,16:22,17:22,18:22,19:22,20:18,21:18,22:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Birzebbuga 2 - Birzebbuga - MALTA STOP,14.5289589,35.8233341,Stop_43,Stop_44,Stop_43_to_Stop_44,0
