Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
X1,Ajruport - Cirkewwa,Airport 1,Hal Luqa,Saturday,05:20,05:53,06:38,07:23,08:13,08:58,09:43,10:28,11:13,11:58,12:43,13:28,14:13,14:58,15:43,16:23,17:08,17:53,18:53,19:38,20:13,20:58,21:43,22:19,22:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,25,Airport 1 - Hal Luqa - MALTA STOP,14.495967,35.8494118,Stop_0,Stop_1,Stop_0_to_Stop_1,1
X1,Ajruport - Cirkewwa,Sptar 1,Mater Dei,Saturday,05:37,06:10,06:55,07:44,08:34,09:22,10:07,10:52,11:37,12:22,13:04,13:49,14:34,15:19,16:04,16:44,17:29,18:14,19:14,19:59,20:34,21:15,22:00,22:36,23:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,25,Sptar 1 - Mater Dei - MALTA STOP,14.4756107,35.9019175,Stop_7,Stop_8,Stop_7_to_Stop_8,0
X1,Ajruport - Cirkewwa,Sptar 2,Mater Dei,Saturday,05:37,06:10,06:55,07:45,08:35,09:22,10:07,10:52,11:37,12:22,13:05,13:50,14:35,15:20,16:05,16:45,17:30,18:15,19:15,20:00,20:35,21:15,22:00,22:36,23:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,25,Sptar 2 - Mater Dei - MALTA STOP,14.4756147,35.9017712,Stop_8,Stop_9,Stop_8_to_Stop_9,0
X1,Ajruport - Cirkewwa,Qroqq 3,L-Imsida,Saturday,05:40,06:13,06:58,07:48,08:38,09:26,10:11,10:56,11:41,12:26,13:08,13:53,14:38,15:23,16:08,16:48,17:33,18:18,19:18,20:03,20:38,21:18,22:03,22:39,23:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,25,Qroqq 3 - L-Imsida - MALTA STOP,14.4849531,35.9000773,Stop_9,Stop_10,Stop_9_to_Stop_10,0
X1,Ajruport - Cirkewwa,Caghaq,Bahar ic-Caghaq,Saturday,05:51,06:24,07:09,08:02,08:52,09:42,10:27,11:12,11:57,12:42,13:22,14:07,14:52,15:37,16:22,17:02,17:47,18:32,19:32,20:17,20:52,21:29,22:14,22:50,23:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,25,Caghaq - Bahar ic-Caghaq - MALTA STOP,14.4564603,35.9388912,Stop_12,Stop_13,Stop_12_to_Stop_13,0
X1,Ajruport - Cirkewwa,Ghadira,Il-Mellieha,Saturday,06:18,06:51,07:36,08:35,09:25,10:19,11:04,11:49,12:34,13:19,13:55,14:40,15:25,16:10,16:55,17:35,18:20,19:05,20:05,20:50,21:25,21:56,22:41,23:17,23:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,25,Ghadira - Il-Mellieha - MALTA STOP,14.3496861,35.9693123,Stop_20,Stop_21,Stop_20_to_Stop_21,0
X1,Cirkewwa - Ajruport,Sptar 3,Mater Dei,Saturday,06:38,07:48,08:33,09:18,10:03,10:48,11:33,12:18,13:03,13:48,14:33,15:18,16:01,16:46,17:31,18:18,19:03,19:48,20:33,21:05,21:50,22:35,23:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,23,Sptar 3 - Mater Dei - MALTA STOP,14.4754663,35.9017872,Stop_27,Stop_4,Stop_27_to_Stop_4,0
X1,Cirkewwa - Ajruport,Airport 3,Hal Luqa,Saturday,07:00,08:10,08:55,09:40,10:25,11:10,11:55,12:40,13:25,14:10,14:55,15:40,16:23,17:08,17:53,18:40,19:25,20:10,20:55,21:23,22:08,22:53,23:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,23,Airport 3 - Hal Luqa - MALTA STOP,14.4967201,35.8488557,Stop_29,,,1
119,Ajruport - Marsaskala,Despott,Birzebbuga,Saturday,06:18,07:18,08:18,09:18,10:21,11:21,12:21,13:21,14:21,15:21,16:21,17:21,18:21,19:18,20:18,21:18,22:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Despott - Birzebbuga - MALTA STOP,14.5298548,35.8205361,Stop_42,Stop_43,Stop_42_to_Stop_43,0
119,Ajruport - Marsaskala,Birzebbuga 2,Birzebbuga,Saturday,06:18,07:18,08:18,09:18,10:22,11:22,12:22,13:22,14:22,15:22,16:22,17:22,18:22,19:18,20:18,21:18,22:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Birzebbuga 2 - Birzebbuga - MALTA STOP,14.5289589,35.8233341,Stop_43,Stop_44,Stop_43_to_Stop_44,0
