Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
X1,Ajruport - Cirkewwa,Cirkewwa Alight,Ic-Cirkewwa,Saturday,06:25,06:58,07:43,08:43,09:33,10:28,11:13,11:58,12:43,13:28,14:03,14:48,15:33,16:18,17:03,17:43,18:28,19:13,20:13,20:58,21:33,22:03,22:48,23:24,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,25,Cirkewwa Alight - Ic-Cirkewwa - MALTA STOP,14.3282962,35.9872609,Stop_23,,,1
X1,Cirkewwa - Ajruport,Cirkewwa 1,Ic-Cirkewwa,Saturday,05:35,06:45,07:30,08:15,09:00,09:45,10:30,11:15,12:00,12:45,13:30,14:15,15:00,15:45,16:30,17:15,18:00,18:45,19:30,20:15,21:00,21:45,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,23,Cirkewwa 1 - Ic-Cirkewwa - MALTA STOP,14.3288365,35.9879981,Stop_24,Stop_22,Stop_24_to_Stop_22,1
119,Ajruport - Marsaskala,Airport 2,Hal Luqa,Saturday,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Airport 2 - Hal Luqa - MALTA STOP,14.4963707,35.8491226,Stop_34,Stop_35,Stop_34_to_Stop_35,1
X3,Ajruport - Bugibba,Bugibba Bay 1,Bugibba,Saturday,06:44,07:44,08:50,09:50,10:50,11:50,12:50,13:46,14:43,15:43,16:43,17:43,18:43,19:43,20:43,21:43,22:43,23:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,18,Bugibba Bay 1 - Bugibba - MALTA STOP,14.4195519,35.9542639,Stop_157,,,1
X3,Bugibba - Ajruport,Bugibba Bay 6,Bugibba,Saturday,05:15,06:15,07:15,08:15,09:15,10:15,11:15,12:15,13:15,14:15,15:15,16:15,17:15,18:15,19:15,20:15,21:15,22:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,18,Bugibba Bay 6 - Bugibba - MALTA STOP,14.4194797,35.9546596,Stop_158,Stop_159,Stop_158_to_Stop_159,1
X4,Valletta - Birzebbuga,Valletta B3,Il-Belt Valletta,Saturday,05:25,05:45,06:05,06:25,06:45,07:05,07:25,07:45,08:05,08:25,08:45,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05,20:35,21:05,21:35,22:05,22:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,39,Valletta B3 - Il-Belt Valletta - MALTA STOP,14.509426,35.8941699,Stop_171,Stop_172,Stop_171_to_Stop_172,1
1,Valletta - Isla,Valletta A2,Il-Belt Valletta,Saturday,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,35,Valletta A2 - Il-Belt Valletta - MALTA STOP,14.5086567,35.895019,Stop_280,Stop_246,Stop_280_to_Stop_246,1
2,Valletta - Birgu Centre,Birgu Centre,Il-Birgu,Saturday,05:38,06:08,06:38,07:08,07:38,08:08,08:38,09:08,09:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:38,16:08,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08,20:38,21:08,21:38,22:08,22:38,23:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,36,Birgu Centre - Il-Birgu - MALTA STOP,14.5219238,35.8877686,Stop_299,,,1
3,Valletta - Kalkara,Valletta A3,Il-Belt Valletta,Saturday,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,35,Valletta A3 - Il-Belt Valletta - MALTA STOP,14.5086562,35.894953,Stop_319,Stop_246,Stop_319_to_Stop_246,1
13,Valletta - Caghaq,Valletta A13,Il-Belt Valletta,Saturday,05:05,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,09:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:15,19:35,20:05,20:35,21:05,21:35,22:05,22:35,23:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,47,Valletta A13 - Il-Belt Valletta - MALTA STOP,14.5086513,35.8943821,Stop_327,Stop_328,Stop_327_to_Stop_328,1
