,Stop From,Latitude_Final,Longitude_Final,Stop To,Latitude_Next,Longitude_Next,Travel_Time,Travel_Time_No_Traffic,Historic_Traffic_Travel_Time,Live_Traffic_Travel_Time,Traffic_Delay,Length_In_Metres,Departure_Time,Arrival_Time
0,Stop_1159,36.0424499396775,14.2436407962333,Stop_1138,36.042897,14.2413812,62,23,62,62,0,210,2025-03-10T17:00:00+01:00,2025-03-10T17:01:02+01:00
1,Stop_1161,36.0415174,14.240284,Stop_1160,36.0430279,14.2413437,294,184,294,294,0,1178,2025-03-10T17:00:00+01:00,2025-03-10T17:04:54+01:00
2,Stop_1159,36.0424499396775,14.2436407962333,Stop_1185,36.0430785,14.2413678,65,24,65,65,0,216,2025-03-10T17:00:00+01:00,2025-03-10T17:01:05+01:00
3,Stop_1161,36.0415174,14.240284,Stop_1220,36.043345,14.2412087,334,252,334,334,0,1201,2025-03-10T17:00:00+01:00,2025-03-10T17:05:34+01:00
4,Stop_1275,36.0465443,14.241622,Stop_1185,36.0430785,14.2413678,221,139,221,221,0,722,2025-03-10T17:00:00+01:00,2025-03-10T17:03:41+01:00
5,Stop_1275,36.0465443,14.241622,Stop_1160,36.0430279,14.2413437,221,139,221,221,0,722,2025-03-10T17:00:00+01:00,2025-03-10T17:03:41+01:00
6,Stop_1302,36.0463904,14.2429338,Stop_1160,36.0430279,14.2413437,157,85,157,157,0,514,2025-03-10T17:00:00+01:00,2025-03-10T17:02:37+01:00
7,Stop_1275,36.0465443,14.241622,Stop_1138,36.042897,14.2413812,223,140,223,223,0,729,2025-03-10T17:00:00+01:00,2025-03-10T17:03:43+01:00
8,Stop_1341,36.0448027,14.2407072,Stop_1329,36.0431245,14.2413803,219,151,219,219,0,536,2025-03-10T17:00:00+01:00,2025-03-10T17:03:39+01:00
9,Stop_1161,36.0415174,14.240284,Stop_1329,36.0431245,14.2413803,331,249,331,331,0,1192,2025-03-10T17:00:00+01:00,2025-03-10T17:05:31+01:00
