,Stop From,Latitude_Final,Longitude_Final,Stop To,Latitude_Next,Longitude_Next,Travel_Time,Travel_Time_No_Traffic,Historic_Traffic_Travel_Time,Live_Traffic_Travel_Time,Traffic_Delay,Length_In_Metres,Departure_Time,Arrival_Time
0,Stop_1159,36.0424499396775,14.2436407962333,Stop_1138,36.042897,14.2413812,57,23,57,57,0,210,2025-03-10T08:00:00+01:00,2025-03-10T08:00:57+01:00
1,Stop_1161,36.0415174,14.240284,Stop_1160,36.0430279,14.2413437,295,184,295,295,0,1178,2025-03-10T08:00:00+01:00,2025-03-10T08:04:55+01:00
2,Stop_1159,36.0424499396775,14.2436407962333,Stop_1185,36.0430785,14.2413678,59,24,59,59,0,216,2025-03-10T08:00:00+01:00,2025-03-10T08:00:59+01:00
3,Stop_1161,36.0415174,14.240284,Stop_1220,36.043345,14.2412087,342,252,342,342,0,1201,2025-03-10T08:00:00+01:00,2025-03-10T08:05:42+01:00
4,Stop_1275,36.0465443,14.241622,Stop_1185,36.0430785,14.2413678,211,139,211,211,0,722,2025-03-10T08:00:00+01:00,2025-03-10T08:03:31+01:00
5,Stop_1275,36.0465443,14.241622,Stop_1160,36.0430279,14.2413437,211,139,211,211,0,722,2025-03-10T08:00:00+01:00,2025-03-10T08:03:31+01:00
6,Stop_1302,36.0463904,14.2429338,Stop_1160,36.0430279,14.2413437,147,85,147,147,0,514,2025-03-10T08:00:00+01:00,2025-03-10T08:02:27+01:00
7,Stop_1275,36.0465443,14.241622,Stop_1138,36.042897,14.2413812,213,140,213,213,0,729,2025-03-10T08:00:00+01:00,2025-03-10T08:03:33+01:00
8,Stop_1341,36.0448027,14.2407072,Stop_1329,36.0431245,14.2413803,208,151,208,208,0,536,2025-03-10T08:00:00+01:00,2025-03-10T08:03:28+01:00
9,Stop_1161,36.0415174,14.240284,Stop_1329,36.0431245,14.2413803,340,249,340,340,0,1192,2025-03-10T08:00:00+01:00,2025-03-10T08:05:40+01:00
