,Stop From,Latitude_Final,Longitude_Final,Stop To,Latitude_Next,Longitude_Next,Travel_Time,Travel_Time_No_Traffic,Historic_Traffic_Travel_Time,Live_Traffic_Travel_Time,Traffic_Delay,Length_In_Metres,Departure_Time,Arrival_Time
0,Stop_23,35.9872609,14.3282962,Stop_24,35.9879981,14.3288365,99,97,99,99,0,299,2025-03-10T17:00:00+01:00,2025-03-10T17:01:39+01:00
1,Stop_0,35.8494118,14.495967,Stop_29,35.8488557,14.4967201,200,172,200,200,0,827,2025-03-10T17:00:00+01:00,2025-03-10T17:03:20+01:00
2,Stop_29,35.8488557,14.4967201,Stop_34,35.8491226,14.4963707,18,16,18,18,0,43,2025-03-10T17:00:00+01:00,2025-03-10T17:00:18+01:00
3,Stop_29,35.8488557,14.4967201,Stop_0,35.8494118,14.495967,37,33,37,37,0,92,2025-03-10T17:00:00+01:00,2025-03-10T17:00:37+01:00
4,Stop_144,35.8843013,14.4015749,Stop_167,35.8847319,14.401403,10,7,10,10,0,49,2025-03-10T17:00:00+01:00,2025-03-10T17:00:10+01:00
5,Stop_9,35.9000773,14.4849531,Stop_112,35.9211054,14.4907238,460,359,460,460,0,2952,2025-03-10T17:00:00+01:00,2025-03-10T17:07:40+01:00
6,Stop_82,35.8625356,14.566475,Stop_83,35.8641262,14.5616215,133,97,133,133,0,732,2025-03-10T17:00:00+01:00,2025-03-10T17:02:13+01:00
7,Stop_157,35.9542639,14.4195519,Stop_158,35.9546596,14.4194797,128,121,128,128,0,472,2025-03-10T17:00:00+01:00,2025-03-10T17:02:08+01:00
8,Stop_7,35.9019175,14.4756107,Stop_8,35.9017712,14.4756147,73,46,73,73,0,130,2025-03-10T17:00:00+01:00,2025-03-10T17:01:13+01:00
9,Stop_157,35.9542639,14.4195519,Stop_456,35.9545613,14.4193468,6,6,6,6,0,32,2025-03-10T17:00:00+01:00,2025-03-10T17:00:06+01:00
10,Stop_7,35.9019175,14.4756107,Stop_27,35.9017872,14.4754663,81,50,81,81,0,144,2025-03-10T17:00:00+01:00,2025-03-10T17:01:21+01:00
11,Stop_190,35.8952138,14.5080061,Stop_223,35.8950762,14.5086572,13,13,13,13,0,59,2025-03-10T17:00:00+01:00,2025-03-10T17:00:13+01:00
12,Stop_190,35.8952138,14.5080061,Stop_347,35.894326,14.5086508,184,178,184,184,0,233,2025-03-10T17:00:00+01:00,2025-03-10T17:03:04+01:00
13,Stop_349,35.9241428,14.4786769,Stop_329,35.9239192,14.4787048,0,0,0,0,0,0,2025-03-10T17:00:00+01:00,2025-03-10T17:00:00+01:00
14,Stop_190,35.8952138,14.5080061,Stop_355,35.8942679,14.5086503,189,183,189,189,0,238,2025-03-10T17:00:00+01:00,2025-03-10T17:03:09+01:00
