Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
301,Victoria - Vapur,Victoria Bay 1,"Ir-Rabat, Ghawdex",Saturday,05:05,05:30,06:00,06:15,07:00,07:15,07:45,08:30,09:00,09:30,10:00,10:15,11:00,11:15,11:30,12:15,13:00,13:45,14:00,14:30,15:00,15:15,15:30,16:00,16:15,16:30,17:00,17:30,18:00,18:15,18:30,19:00,19:30,19:45,20:00,20:30,21:15,22:00,22:45,23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,40,"Victoria Bay 1 - Ir-Rabat, Ghawdex - GOZO STOP",14.2413812,36.042897,Stop_1138,Stop_1139,Stop_1138_to_Stop_1139,1
301,Victoria - Vapur,Vapur,"L-Imgarr, Ghawdex",Saturday,05:19,05:44,06:14,06:29,07:18,07:33,08:03,08:48,09:18,09:48,10:18,10:33,11:18,11:33,11:48,12:33,13:18,14:00,14:15,14:45,15:15,15:30,15:45,16:15,16:30,16:45,17:15,17:45,18:15,18:30,18:45,19:15,19:45,20:00,20:15,20:45,21:30,22:15,23:00,23:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,40,"Vapur - L-Imgarr, Ghawdex - GOZO STOP",14.2982553,36.0238816,Stop_1153,,,1
301,Vapur - Victoria,Olivier,"Ir-Rabat, Ghawdex",Saturday,05:44,06:09,06:34,07:25,07:55,08:02,08:25,09:10,09:55,10:07,10:40,11:07,11:37,11:57,12:17,12:55,13:40,14:22,14:47,15:17,15:55,16:07,16:22,16:40,17:22,17:25,18:10,18:22,18:55,19:02,19:37,19:39,19:59,20:22,20:44,21:07,21:52,22:37,23:14,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,40,"Olivier - Ir-Rabat, Ghawdex - GOZO STOP",14.2436407962333,36.0424499396775,Stop_1159,,,1
302,Victoria - Ramla,Victoria Bay 2,"Ir-Rabat, Ghawdex",Saturday,06:05,07:05,08:05,09:05,10:05,11:05,12:05,13:05,14:05,15:05,16:05,17:05,18:05,19:05,20:05,21:05,22:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,17,"Victoria Bay 2 - Ir-Rabat, Ghawdex - GOZO STOP",14.2413437,36.0430279,Stop_1160,Stop_1161,Stop_1160_to_Stop_1161,1
303,Victoria - Vapur,Victoria Bay 3,"Ir-Rabat, Ghawdex",Saturday,05:00,06:00,07:00,08:00,09:30,11:00,12:30,14:00,15:30,17:00,18:30,19:15,20:00,20:45,21:45,22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,16,"Victoria Bay 3 - Ir-Rabat, Ghawdex - GOZO STOP",14.2413678,36.0430785,Stop_1185,Stop_1139,Stop_1185_to_Stop_1139,1
305,Victoria -Ta Sannat - Victoria,Victoria Bay 5,"Ir-Rabat, Ghawdex",Saturday,05:05,06:35,07:35,08:35,09:35,10:35,11:35,12:35,13:35,14:35,15:35,16:35,17:35,18:35,19:35,20:35,21:35,22:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,18,"Victoria Bay 5 - Ir-Rabat, Ghawdex - GOZO STOP",14.2412087,36.043345,Stop_1220,Stop_1161,Stop_1220_to_Stop_1161,1
311,Victoria - Dwejra,Dwejra,San Lawrenz,Saturday,07:38,08:38,09:38,10:38,11:38,12:23,13:07,13:52,14:37,15:22,16:07,16:52,17:37,18:22,19:22,20:22,21:22,22:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,18,Dwejra - San Lawrenz - GOZO STOP,14.1904446,36.0522379,Stop_1325,,,1
312,Victoria - Gharb - Victoria,Victoria Bay 4,"Ir-Rabat, Ghawdex",Saturday,05:00,06:02,07:02,08:02,09:02,10:02,11:02,12:02,13:02,14:02,15:02,16:02,17:02,18:02,19:02,20:02,21:02,22:02,23:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,19,"Victoria Bay 4 - Ir-Rabat, Ghawdex - GOZO STOP",14.2413803,36.0431245,Stop_1329,Stop_1139,Stop_1329_to_Stop_1139,1
312,Victoria - Gharb - Victoria,Opera,"Ir-Rabat, Ghawdex",Saturday,05:21,06:26,07:29,08:31,09:31,10:31,11:31,12:31,13:31,14:31,15:31,16:31,17:31,18:31,19:28,20:26,21:26,22:26,23:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,19,"Opera - Ir-Rabat, Ghawdex - GOZO STOP",14.2407072,36.0448027,Stop_1341,,,1
322,Marsalforn - Vapur,Sajjied,Marsalforn,Saturday,05:02,06:42,08:12,09:42,11:12,11:57,12:42,13:27,14:12,14:57,15:42,16:27,17:12,17:57,18:42,19:27,20:12,20:57,22:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOZO STOP,19,Sajjied - Marsalforn - GOZO STOP,14.2612568,36.069767,Stop_1354,Stop_1355,Stop_1354_to_Stop_1355,1
