Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
135,Marsaskala - Mater Dei,Iskal,Marsaskala,"Monday, Tuesday, Wednesday, Thursday, Friday",06:05,07:05,08:05,09:05,10:05,11:05,12:05,13:05,14:05,15:05,16:05,17:05,18:05,19:05,20:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Iskal - Marsaskala - MALTA STOP,14.5616215,35.8641262,Stop_83,Stop_84,Stop_83_to_Stop_84,1
135,Marsaskala - Mater Dei,Bianco,Marsaskala,"Monday, Tuesday, Wednesday, Thursday, Friday",06:07,07:07,08:06,09:06,10:06,11:06,12:06,13:06,14:06,15:06,16:06,17:06,18:06,19:06,20:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Bianco - Marsaskala - MALTA STOP,14.5616716,35.8636567,Stop_85,Stop_86,Stop_85_to_Stop_86,0
135,Marsaskala - Mater Dei,Xmiel,Marsaskala,"Monday, Tuesday, Wednesday, Thursday, Friday",06:08,07:09,08:08,09:08,10:08,11:08,12:08,13:08,14:08,15:08,16:08,17:08,18:08,19:08,20:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Xmiel - Marsaskala - MALTA STOP,14.566475,35.8625356,Stop_82,Stop_81,Stop_82_to_Stop_81,0
135,Marsaskala - Mater Dei,Gudja,Il-Gudja,"Monday, Tuesday, Wednesday, Thursday, Friday",06:40,07:44,08:35,09:35,10:35,11:35,12:35,13:35,14:35,15:35,16:35,17:35,18:35,19:35,20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Gudja - Il-Gudja - MALTA STOP,14.5018512,35.8490937,Stop_927,Stop_928,Stop_927_to_Stop_928,0
135,Marsaskala - Mater Dei,Gibja,Il-Gudja,"Monday, Tuesday, Wednesday, Thursday, Friday",06:41,07:45,08:35,09:35,10:35,11:35,12:35,13:35,14:35,15:35,16:35,17:35,18:35,19:35,20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Gibja - Il-Gudja - MALTA STOP,14.4998074,35.8507091,Stop_928,Stop_1090,Stop_928_to_Stop_1090,0
135,Mater Dei - Marsaskala,Diacono,Iz-Zejtun,"Monday, Tuesday, Wednesday, Thursday, Friday",07:12,08:06,09:06,10:02,11:02,12:06,13:06,14:06,15:13,16:16,17:16,18:11,19:03,20:03,21:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Diacono - Iz-Zejtun - MALTA STOP,14.530514,35.8543867,Stop_867,Stop_907,Stop_867_to_Stop_907,0
204,Mater Dei - Marsaskala,Kannella,Marsaskala,"Monday, Tuesday, Wednesday, Thursday, Friday",07:05,08:05,09:05,09:57,10:57,11:57,12:57,13:57,15:01,16:08,17:08,18:08,19:06,19:58,20:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Kannella - Marsaskala - MALTA STOP,14.5625281,35.8587048,Stop_271,,,1
204,Marsaskala - Mater Dei,Anxjur,Marsaskala,"Monday, Tuesday, Wednesday, Thursday, Friday",07:21,08:20,09:20,10:20,11:20,12:20,13:20,14:20,15:20,16:20,17:20,18:20,19:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,13,Anxjur - Marsaskala - MALTA STOP,14.5585746,35.8624285,Stop_949,Stop_941,Stop_949_to_Stop_941,1
206,Mater Dei - Zejtun,Zejtun,Iz-Zejtun,"Monday, Tuesday, Wednesday, Thursday, Friday",07:02,08:02,09:02,10:02,10:52,11:52,12:52,13:52,14:52,16:03,17:03,18:03,18:51,19:45,20:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Zejtun - Iz-Zejtun - MALTA STOP,14.5311214,35.8538528,Stop_868,,,1
210,Mater Dei - Birzebbuga,Despott,Birzebbuga,"Monday, Tuesday, Wednesday, Thursday, Friday",06:43,07:43,08:43,09:27,10:27,11:27,12:31,13:31,14:31,15:43,16:43,17:43,18:43,19:19,20:19,21:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,16,Despott - Birzebbuga - MALTA STOP,14.5298548,35.8205361,Stop_42,Stop_885,Stop_42_to_Stop_885,0
