Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
13A,Valletta - San Giljan,Ferries 5,Tas-Sliema,"Monday, Tuesday, Wednesday, Thursday, Friday",06:00,06:30,07:00,07:42,07:54,08:14,08:26,08:41,08:53,09:05,09:14,09:26,09:38,09:50,10:02,10:14,10:26,10:38,10:50,11:02,11:14,11:26,11:38,11:50,12:02,12:14,12:26,12:38,12:50,13:02,13:14,13:26,13:38,13:50,14:02,14:14,14:26,14:38,14:50,15:02,15:14,15:26,15:38,15:50,16:02,16:14,16:26,16:38,16:50,17:08,17:20,17:32,17:44,17:53,18:05,18:17,18:29,18:41,18:50,19:02,19:14,19:26,19:38,19:50,20:02,20:14,20:40,21:05,21:35,22:05,22:35,23:05,,,,,,,MALTA STOP,72,Ferries 5 - Tas-Sliema - MALTA STOP,14.5045631,35.9092782,Stop_232,Stop_238,Stop_232_to_Stop_238,0
13A,Valletta - San Giljan,Olivier,San Giljan,"Monday, Tuesday, Wednesday, Thursday, Friday",06:11,06:41,07:11,07:53,08:05,08:25,08:37,08:53,09:05,09:17,09:25,09:37,09:49,10:01,10:13,10:25,10:37,10:49,11:01,11:13,11:25,11:37,11:49,12:01,12:13,12:25,12:37,12:49,13:01,13:13,13:25,13:37,13:49,14:01,14:13,14:25,14:37,14:49,15:01,15:13,15:25,15:37,15:49,16:01,16:13,16:25,16:37,16:49,17:01,17:21,17:33,17:45,17:57,18:05,18:17,18:29,18:41,18:53,19:01,19:13,19:25,19:37,19:49,20:01,20:13,20:25,20:51,21:13,21:43,22:13,22:43,23:13,,,,,,,MALTA STOP,72,Olivier - San Giljan - MALTA STOP,14.4934556,35.9171231,Stop_114,,,1
13A,San Giljan - Valletta,Ross,San Giljan,"Monday, Tuesday, Wednesday, Thursday, Friday",05:20,05:50,06:20,06:51,07:11,07:23,07:35,07:47,07:59,08:11,08:23,08:35,08:47,08:59,09:11,09:23,09:35,09:47,09:59,10:11,10:23,10:35,10:47,10:59,11:11,11:23,11:35,11:47,11:59,12:11,12:23,12:35,12:47,12:59,13:11,13:23,13:35,13:47,13:59,14:11,14:23,14:35,14:47,14:59,15:11,15:23,15:35,15:47,15:59,16:11,16:23,16:35,16:47,16:59,17:11,17:23,17:35,17:47,17:59,18:11,18:23,18:35,18:47,18:59,19:11,19:23,19:34,19:46,20:00,20:30,21:00,21:30,22:00,22:30,23:00,,,,MALTA STOP,75,Ross - San Giljan - MALTA STOP,14.4907238,35.9211054,Stop_112,Stop_113,Stop_112_to_Stop_113,1
13A,San Giljan - Valletta,Ferries 4,Tas-Sliema,"Monday, Tuesday, Wednesday, Thursday, Friday",05:34,06:04,06:34,07:09,07:29,07:41,07:53,08:05,08:17,08:29,08:41,08:53,09:05,09:17,09:29,09:41,09:53,10:05,10:17,10:29,10:41,10:53,11:05,11:17,11:29,11:41,11:53,12:05,12:17,12:29,12:41,12:53,13:05,13:17,13:29,13:41,13:53,14:05,14:17,14:29,14:41,14:53,15:05,15:17,15:29,15:41,15:53,16:05,16:17,16:29,16:41,16:55,17:07,17:19,17:31,17:43,17:55,18:07,18:19,18:28,18:40,18:52,19:04,19:16,19:28,19:40,19:50,20:02,20:16,20:46,21:16,21:46,22:13,22:43,23:13,,,,MALTA STOP,75,Ferries 4 - Tas-Sliema - MALTA STOP,14.5038354,35.9088003,Stop_233,Stop_125,Stop_233_to_Stop_125,0
16,Valletta - Swieqi,Sirk,Is-Swieqi,"Monday, Tuesday, Wednesday, Thursday, Friday",06:08,06:28,06:48,07:19,07:39,07:59,08:19,08:39,08:59,09:19,09:39,09:59,10:19,10:39,10:59,11:19,11:39,11:59,12:19,12:39,12:59,13:19,13:39,13:59,14:19,14:39,14:59,15:19,15:39,15:59,16:19,16:39,17:05,17:25,17:45,18:05,18:25,18:45,18:57,19:17,19:37,19:57,20:17,20:47,21:13,21:43,22:08,22:38,23:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,49,Sirk - Is-Swieqi - MALTA STOP,14.4856355,35.9228477,Stop_357,Stop_358,Stop_357_to_Stop_358,0
16,Valletta - Swieqi,Xaghrat,Is-Swieqi,"Monday, Tuesday, Wednesday, Thursday, Friday",06:15,06:35,06:55,07:28,07:48,08:08,08:28,08:48,09:08,09:28,09:48,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:08,15:28,15:48,16:08,16:28,16:48,17:15,17:35,17:55,18:15,18:35,18:55,19:05,19:25,19:45,20:05,20:25,20:55,21:20,21:50,22:15,22:45,23:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,49,Xaghrat - Is-Swieqi - MALTA STOP,14.4714245,35.9192709,Stop_365,,,1
22,Valletta - Birkirkara,Hgejjeg,San Gwann,"Monday, Tuesday, Wednesday, Thursday, Friday",06:09,06:46,07:16,07:41,08:01,08:21,08:41,09:01,09:21,09:41,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:43,14:03,14:23,14:43,15:03,15:23,15:43,16:03,16:23,16:43,17:03,17:23,17:43,18:03,18:23,18:43,18:52,19:12,19:32,19:52,20:12,20:49,21:09,21:39,22:09,22:49,23:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,48,Hgejjeg - San Gwann - MALTA STOP,14.4689593,35.91031,Stop_400,Stop_401,Stop_400_to_Stop_401,0
63,Valletta - Qormi Harifa,Qaddisin,Hal Qormi,"Monday, Tuesday, Wednesday, Thursday, Friday",06:10,06:30,06:50,07:10,07:30,07:50,08:10,08:30,08:50,09:10,09:40,10:13,10:43,11:13,11:43,12:13,12:43,13:13,13:43,14:13,14:45,15:09,15:39,16:09,16:39,17:09,17:39,18:09,18:39,19:09,19:39,20:09,21:09,22:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Qaddisin - Hal Qormi - MALTA STOP,14.4838708,35.8801098,Stop_692,Stop_693,Stop_692_to_Stop_693,0
63,Qormi Harifa - Valletta,Qaddisin,Il-Marsa,"Monday, Tuesday, Wednesday, Thursday, Friday",05:22,05:52,06:12,06:32,06:52,07:12,07:32,07:52,08:12,08:32,08:52,09:21,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51,17:21,17:51,18:21,18:51,19:17,19:47,20:17,20:47,21:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,36,Qaddisin - Il-Marsa - MALTA STOP,14.4848178,35.8806216,Stop_725,Stop_691,Stop_725_to_Stop_691,0
64,Valletta - Sta Venera,Ahmar,Santa Venera,"Monday, Tuesday, Wednesday, Thursday, Friday",06:04,06:34,07:04,07:34,08:04,08:34,09:04,09:39,10:09,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:44,15:09,15:43,16:13,16:40,17:10,17:40,18:10,18:32,19:02,19:32,20:02,20:32,21:02,21:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,32,Ahmar - Santa Venera - MALTA STOP,14.4742258,35.8881983,Stop_767,Stop_591,Stop_767_to_Stop_591,0
