Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
X1A,Cirkewwa - University,Caghaq,Bahar ic-Caghaq,"Monday, Tuesday, Wednesday, Thursday, Friday",07:32,07:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,2,Caghaq - Bahar ic-Caghaq - MALTA STOP,14.4564603,35.9388912,Stop_12,Stop_11,Stop_12_to_Stop_11,0
13,Valletta - Caghaq,Ferries 5,Tas-Sliema,"Monday, Tuesday, Wednesday, Thursday, Friday",05:21,05:51,06:21,06:51,07:11,07:35,07:55,08:15,08:35,08:55,09:15,09:35,09:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:39,16:59,17:19,17:39,17:59,18:16,18:36,18:56,19:13,19:33,20:03,20:33,20:59,21:29,21:59,22:29,22:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,49,Ferries 5 - Tas-Sliema - MALTA STOP,14.5045631,35.9092782,Stop_232,Stop_238,Stop_232_to_Stop_238,0
31,Valletta - Bugibba,Sptar 1,Mater Dei,"Monday, Tuesday, Wednesday, Thursday, Friday",05:39,06:00,06:23,06:43,07:03,07:18,07:33,07:48,08:03,08:18,08:33,08:48,09:03,09:18,09:33,09:48,10:03,10:18,10:33,10:48,11:03,11:18,11:33,11:48,12:03,12:18,12:33,12:48,13:03,13:18,13:33,13:51,14:06,14:21,14:36,14:51,15:06,15:21,15:36,15:53,16:08,16:23,16:38,16:52,17:07,17:22,17:37,17:52,18:04,18:19,18:34,18:49,19:04,19:34,20:04,20:29,20:59,21:26,21:56,22:26,22:56,23:26,23:56,,,,,,,,,,,,,,,,MALTA STOP,63,Sptar 1 - Mater Dei - MALTA STOP,14.4756107,35.9019175,Stop_7,Stop_8,Stop_7_to_Stop_8,0
31,Valletta - Bugibba,Sptar 2,Mater Dei,"Monday, Tuesday, Wednesday, Thursday, Friday",05:39,06:01,06:23,06:43,07:03,07:18,07:33,07:48,08:03,08:18,08:33,08:48,09:03,09:18,09:33,09:48,10:03,10:18,10:33,10:48,11:03,11:18,11:33,11:48,12:03,12:18,12:33,12:48,13:03,13:18,13:33,13:51,14:06,14:21,14:36,14:51,15:06,15:21,15:36,15:54,16:09,16:24,16:39,16:52,17:07,17:22,17:37,17:52,18:05,18:20,18:35,18:50,19:05,19:35,20:05,20:29,20:59,21:27,21:57,22:27,22:57,23:27,23:57,,,,,,,,,,,,,,,,MALTA STOP,63,Sptar 2 - Mater Dei - MALTA STOP,14.4756147,35.9017712,Stop_8,Stop_405,Stop_8_to_Stop_405,0
31,Valletta - Bugibba,Nutar,In-Naxxar,"Monday, Tuesday, Wednesday, Thursday, Friday",05:53,06:15,06:40,07:00,07:20,07:35,07:50,08:05,08:20,08:35,08:50,09:05,09:20,09:35,09:50,10:05,10:20,10:35,10:50,11:05,11:20,11:35,11:50,12:05,12:20,12:35,12:50,13:05,13:20,13:35,13:50,14:11,14:26,14:41,14:56,15:11,15:26,15:41,15:56,16:16,16:31,16:46,17:01,17:13,17:28,17:43,17:58,18:13,18:23,18:38,18:53,19:08,19:23,19:53,20:23,20:43,21:13,21:38,22:08,22:38,23:08,23:38,00:08,,,,,,,,,,,,,,,,MALTA STOP,63,Nutar - In-Naxxar - MALTA STOP,14.4499543,35.9156839,Stop_435,Stop_436,Stop_435_to_Stop_436,0
41,Valletta - Cirkewwa,Ghadira,Il-Mellieha,"Monday, Tuesday, Wednesday, Thursday, Friday",06:39,07:09,07:34,08:03,08:23,08:43,09:03,09:57,10:17,11:43,12:03,12:23,13:39,14:19,16:27,17:47,18:27,19:03,19:28,19:49,21:32,22:02,22:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,23,Ghadira - Il-Mellieha - MALTA STOP,14.3496861,35.9693123,Stop_20,Stop_214,Stop_20_to_Stop_214,0
44,Valletta - Ghajn Tuffieha,Teatrali,"L-Imgarr, Malta","Monday, Tuesday, Wednesday, Thursday, Friday",06:27,06:57,07:27,07:57,08:27,08:57,09:27,09:57,10:23,10:53,11:23,11:56,12:26,12:56,13:26,13:53,14:23,14:57,15:27,15:57,16:27,16:57,17:27,17:57,18:23,18:53,19:23,19:53,20:21,20:51,21:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,31,"Teatrali - L-Imgarr, Malta - MALTA STOP",14.3699013,35.919539,Stop_518,Stop_519,Stop_518_to_Stop_519,0
44,Valletta - Ghajn Tuffieha,Ballut,"L-Imgarr, Malta","Monday, Tuesday, Wednesday, Thursday, Friday",06:39,07:09,07:39,08:09,08:39,09:09,09:39,10:09,10:34,11:04,11:34,12:07,12:37,13:07,13:37,14:04,14:34,15:09,15:39,16:09,16:39,17:09,17:39,18:09,18:34,19:04,19:34,20:04,20:31,21:01,22:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,31,"Ballut - L-Imgarr, Malta - MALTA STOP",14.3591174,35.9345527,Stop_525,Stop_526,Stop_525_to_Stop_526,0
44,Valletta - Ghajn Tuffieha,Tuffieha,Ghajn Tuffieha,"Monday, Tuesday, Wednesday, Thursday, Friday",06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:40,11:10,11:40,12:13,12:43,13:13,13:43,14:10,14:40,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:40,19:10,19:40,20:10,20:37,21:07,22:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,31,Tuffieha - Ghajn Tuffieha - MALTA STOP,14.3462179,35.9347122,Stop_528,,,1
44,Ghajn Tuffieha - Valletta,Temi,Iz-Zebbiegh,"Monday, Tuesday, Wednesday, Thursday, Friday",07:18,07:48,08:18,08:45,09:15,09:45,10:15,10:43,11:13,11:43,12:13,12:43,13:13,13:43,14:13,14:43,15:14,15:44,16:14,16:44,17:14,17:44,18:14,18:44,19:14,19:44,20:10,20:40,21:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,29,Temi - Iz-Zebbiegh - MALTA STOP,14.3790923,35.9212355,Stop_530,Stop_514,Stop_530_to_Stop_514,0
