Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
X4,Valletta - Birzebbuga,Far,Hal Far,"Monday, Tuesday, Wednesday, Thursday, Friday",06:13,06:31,06:36,06:51,07:11,07:31,07:51,08:01,08:11,08:31,08:41,08:51,09:01,09:11,09:31,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,18:51,19:18,19:49,20:19,20:46,21:16,21:46,22:16,22:46,23:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Far - Hal Far - MALTA STOP,14.5114964,35.8131064,Stop_183,Stop_38,Stop_183_to_Stop_38,0
X4,Valletta - Birzebbuga,Despott,Birzebbuga,"Monday, Tuesday, Wednesday, Thursday, Friday",06:20,06:38,06:43,06:58,07:18,07:38,07:58,08:08,08:18,08:38,08:48,08:58,09:08,09:18,09:38,09:58,10:28,10:58,11:28,11:58,12:28,12:58,13:38,14:08,14:38,15:08,15:38,16:08,16:38,17:08,17:38,18:08,18:38,18:57,19:24,19:55,20:25,20:53,21:23,21:53,22:23,22:53,23:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Despott - Birzebbuga - MALTA STOP,14.5298548,35.8205361,Stop_42,Stop_43,Stop_42_to_Stop_43,0
X4,Valletta - Birzebbuga,Birzebbuga 2,Birzebbuga,"Monday, Tuesday, Wednesday, Thursday, Friday",06:21,06:39,06:44,06:59,07:19,07:39,07:59,08:09,08:19,08:39,08:49,08:59,09:09,09:19,09:39,09:59,10:29,10:59,11:29,11:59,12:29,12:59,13:39,14:09,14:39,15:09,15:39,16:09,16:39,17:09,17:39,18:09,18:39,18:57,19:24,19:56,20:26,20:53,21:23,21:53,22:23,22:53,23:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Birzebbuga 2 - Birzebbuga - MALTA STOP,14.5289589,35.8233341,Stop_43,Stop_44,Stop_43_to_Stop_44,0
X4,Valletta - Birzebbuga,Buni,Birzebbuga,"Monday, Tuesday, Wednesday, Thursday, Friday",06:22,06:39,06:44,06:59,07:19,07:39,07:59,08:09,08:19,08:39,08:49,08:59,09:09,09:19,09:39,09:59,10:29,10:59,11:29,11:59,12:29,12:59,13:40,14:10,14:40,15:10,15:40,16:10,16:40,17:10,17:40,18:10,18:40,18:58,19:25,19:57,20:27,20:54,21:24,21:54,22:24,22:54,23:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Buni - Birzebbuga - MALTA STOP,14.5281247,35.8250442,Stop_44,Stop_45,Stop_44_to_Stop_45,0
X4,Valletta - Birzebbuga,Tankijiet,Birzebbuga,"Monday, Tuesday, Wednesday, Thursday, Friday",06:26,06:43,06:48,07:03,07:23,07:43,08:03,08:13,08:23,08:43,08:53,09:03,09:13,09:23,09:43,10:03,10:33,11:03,11:33,12:03,12:33,13:03,13:44,14:14,14:44,15:14,15:44,16:14,16:44,17:14,17:44,18:14,18:44,19:01,19:28,20:00,20:30,20:57,21:27,21:57,22:27,22:57,23:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Tankijiet - Birzebbuga - MALTA STOP,14.5332786,35.8275564,Stop_103,Stop_104,Stop_103_to_Stop_104,0
X4,Birzebbuga - Valletta,Birzebbuga 3,Birzebbuga,"Monday, Tuesday, Wednesday, Thursday, Friday",05:15,05:30,05:40,05:50,06:00,06:10,06:20,06:40,06:50,07:10,07:30,07:50,08:10,08:30,08:50,09:10,09:30,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:50,20:20,20:50,21:20,22:00,22:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Birzebbuga 3 - Birzebbuga - MALTA STOP,14.5291405,35.8233552,Stop_106,Stop_42,Stop_106_to_Stop_42,1
71,Valletta - Zurrieq,Zurrieq,Iz-Zurrieq,"Monday, Tuesday, Wednesday, Thursday, Friday",06:00,06:20,06:40,07:00,07:20,07:40,08:00,08:20,08:40,09:00,09:18,09:38,09:58,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38,12:55,13:15,13:35,13:55,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,18:57,19:17,19:37,19:57,20:10,20:30,21:00,21:30,22:00,22:30,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,50,Zurrieq - Iz-Zurrieq - MALTA STOP,14.4731744,35.8309118,Stop_799,,,1
72,Valletta - Qrendi,Chircop,Il-Qrendi,"Monday, Tuesday, Wednesday, Thursday, Friday",06:05,06:25,06:45,07:05,07:25,07:45,08:05,08:25,08:42,09:02,09:22,09:42,10:02,10:22,10:42,11:02,11:22,11:42,12:02,12:22,12:42,13:02,13:22,13:42,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:42,18:02,18:22,18:42,19:02,19:22,19:42,20:02,20:17,20:37,20:57,21:27,21:57,22:27,22:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,50,Chircop - Il-Qrendi - MALTA STOP,14.4606303,35.8338866,Stop_818,Stop_819,Stop_818_to_Stop_819,0
72,Valletta - Qrendi,Qrendi,Il-Qrendi,"Monday, Tuesday, Wednesday, Thursday, Friday",06:06,06:26,06:46,07:06,07:26,07:46,08:06,08:26,08:43,09:03,09:23,09:43,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:06,14:26,14:46,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:43,18:03,18:23,18:43,19:03,19:23,19:43,20:03,20:18,20:38,20:58,21:28,21:58,22:28,22:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,50,Qrendi - Il-Qrendi - MALTA STOP,14.4580266,35.8343531,Stop_819,,,1
73,Valletta - Zurrieq,Xarolla,Iz-Zurrieq,"Monday, Tuesday, Wednesday, Thursday, Friday",06:02,06:22,06:42,07:06,07:26,07:46,08:06,08:22,08:42,08:58,09:18,09:38,09:58,10:18,10:38,11:02,11:22,11:42,12:02,12:22,12:42,13:02,13:22,13:42,14:02,14:22,14:42,15:02,15:22,15:42,16:02,16:22,16:42,17:06,17:26,17:46,18:06,18:26,18:46,18:58,19:18,19:38,19:58,20:18,20:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,45,Xarolla - Iz-Zurrieq - MALTA STOP,14.4806685,35.831711,Stop_824,Stop_825,Stop_824_to_Stop_825,0
