Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
50,Valletta - Rabat,Rabat 3,"Ir-Rabat, Malta","Wednesday, Thursday, Friday, Monday, Tuesday",06:39,06:59,07:19,07:39,07:59,08:19,08:39,08:59,09:19,16:29,16:59,17:29,17:59,18:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,14,"Rabat 3 - Ir-Rabat, Malta - MALTA STOP",14.4014589,35.8845181,Stop_581,Stop_582,Stop_581_to_Stop_582,0
50,Rabat - Valletta,Rabat 1,"Ir-Rabat, Malta","Wednesday, Thursday, Friday, Monday, Tuesday",05:47,06:07,06:27,06:48,07:08,07:28,07:48,08:08,08:28,16:43,17:13,17:42,18:12,18:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,14,"Rabat 1 - Ir-Rabat, Malta - MALTA STOP",14.4015492,35.884652,Stop_587,Stop_588,Stop_587_to_Stop_588,0
51,Valletta - Mtarfa,Antoine,L-Imtarfa,"Monday, Tuesday, Wednesday, Thursday, Friday",06:28,06:58,07:28,07:53,08:23,08:53,09:23,09:53,10:28,10:58,11:28,11:58,12:28,12:58,13:28,13:58,14:28,14:58,15:28,15:58,16:28,16:53,17:23,17:53,18:23,18:53,19:19,19:49,20:17,20:47,21:12,22:12,23:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,33,Antoine - L-Imtarfa - MALTA STOP,14.391536,35.8866815,Stop_605,Stop_606,Stop_605_to_Stop_606,0
51,Valletta - Mtarfa,David,L-Imtarfa,"Monday, Tuesday, Wednesday, Thursday, Friday",06:35,07:05,07:35,08:00,08:30,09:00,09:30,10:00,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:00,17:30,18:00,18:30,19:00,19:25,19:55,20:23,20:53,21:17,22:17,23:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,33,David - L-Imtarfa - MALTA STOP,14.3979666,35.8909036,Stop_615,,,1
52,Valletta - Dingli,Dingli,Had-Dingli,"Monday, Tuesday, Wednesday, Thursday, Friday",06:18,06:55,07:25,07:55,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:50,19:20,19:50,20:15,20:45,21:15,22:10,23:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,33,Dingli - Had-Dingli - MALTA STOP,14.3830073,35.8607604,Stop_633,,,1
52,Buskett - Valletta,Buskett,Il-Buskett,"Monday, Tuesday, Wednesday, Thursday, Friday",05:19,05:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,2,Buskett - Il-Buskett - MALTA STOP,14.3940007,35.8551615,Stop_634,Stop_624,Stop_634_to_Stop_624,1
53,Valletta - Rabat Virtu,Caruana,"Ir-Rabat, Malta","Monday, Tuesday, Wednesday, Thursday, Friday",06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:30,11:30,12:30,13:33,14:33,15:33,16:33,17:33,18:33,19:25,20:25,21:17,22:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,21,"Caruana - Ir-Rabat, Malta - MALTA STOP",14.401381,35.8730813,Stop_635,Stop_636,Stop_635_to_Stop_636,0
54,Valletta - Attard,Marg,H'Attard,"Monday, Tuesday, Wednesday, Thursday, Friday",06:07,06:37,07:07,07:45,08:05,08:25,08:45,09:05,09:25,09:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:47,16:07,16:27,16:47,17:07,17:30,17:50,18:10,18:25,18:45,19:03,19:23,19:43,20:07,20:37,21:07,21:37,22:07,22:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,46,Marg - H'Attard - MALTA STOP,14.4355813,35.8934338,Stop_659,,,1
62,Valletta - Siggiewi,Siggiewi,Is-Siggiewi,"Monday, Tuesday, Wednesday, Thursday, Friday",06:08,06:31,06:46,07:01,07:16,07:31,07:46,08:01,08:16,08:31,08:44,08:59,09:14,09:29,09:44,09:59,10:14,10:29,10:44,10:59,11:14,11:29,11:52,12:07,12:22,12:37,12:52,13:07,13:22,13:37,13:52,14:07,14:22,14:35,14:52,15:07,15:22,15:37,15:52,16:07,16:22,16:37,16:52,17:07,17:22,17:37,17:52,18:07,18:22,18:28,18:43,19:03,19:32,20:02,20:32,21:02,21:32,22:02,22:32,23:02,,,,,,,,,,,,,,,,,,,MALTA STOP,60,Siggiewi - Is-Siggiewi - MALTA STOP,14.4380827,35.8533254,Stop_739,,,1
109,Bahrija - Providenza,Rabat 2,"Ir-Rabat, Malta","Monday, Tuesday, Wednesday, Thursday, Friday",06:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,9,"Rabat 2 - Ir-Rabat, Malta - MALTA STOP",14.401403,35.8847319,Stop_167,Stop_588,Stop_167_to_Stop_588,0
109,Providenza - Bahrija,Rabat 4,"Ir-Rabat, Malta","Monday, Tuesday, Wednesday, Thursday, Friday",06:20,07:20,08:20,09:20,10:20,11:20,12:20,13:20,14:20,15:23,16:23,17:23,18:23,19:23,20:14,21:14,22:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,"Rabat 4 - Ir-Rabat, Malta - MALTA STOP",14.4015749,35.8843013,Stop_144,Stop_582,Stop_144_to_Stop_582,0
