Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
13A,Valletta - San Giljan,Valletta A13,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:40,06:10,06:40,07:22,07:34,07:54,08:06,08:18,08:30,08:42,08:54,09:06,09:18,09:30,09:42,09:54,10:06,10:18,10:30,10:42,10:54,11:06,11:18,11:30,11:42,11:54,12:06,12:18,12:30,12:42,12:54,13:06,13:18,13:30,13:42,13:54,14:06,14:18,14:30,14:42,14:54,15:06,15:18,15:30,15:42,15:54,16:06,16:18,16:30,16:42,16:54,17:06,17:18,17:30,17:42,17:54,18:06,18:18,18:30,18:42,18:54,19:06,19:18,19:30,19:42,19:54,20:20,20:50,21:20,21:50,22:20,22:50,,,,,,,MALTA STOP,72,Valletta A13 - Il-Belt Valletta - MALTA STOP,14.5086513,35.8943821,Stop_327,Stop_328,Stop_327_to_Stop_328,1
13A,San Giljan - Valletta,Valletta 18,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:50,06:20,06:50,07:30,07:50,08:02,08:14,08:26,08:38,08:50,09:02,09:14,09:26,09:38,09:50,10:02,10:14,10:26,10:38,10:50,11:02,11:14,11:26,11:38,11:50,12:02,12:14,12:26,12:38,12:50,13:02,13:14,13:26,13:38,13:50,14:02,14:14,14:26,14:38,14:50,15:02,15:14,15:26,15:38,15:50,16:02,16:14,16:26,16:38,16:50,17:02,17:19,17:31,17:43,17:55,18:07,18:19,18:31,18:43,18:48,19:00,19:12,19:24,19:36,19:48,20:00,20:09,20:21,20:35,21:05,21:35,22:05,22:28,22:58,23:28,,,,MALTA STOP,75,Valletta 18 - Il-Belt Valletta - MALTA STOP,14.5080061,35.8952138,Stop_190,,,1
14,Pembroke P+R - Valletta,Pembroke Park & Ride 4,Pembroke,"Monday, Tuesday, Wednesday, Thursday, Friday",18:00,18:20,18:40,19:00,19:20,19:40,20:10,20:40,21:10,21:40,22:10,22:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,12,Pembroke Park & Ride 4 - Pembroke - MALTA STOP,14.4787048,35.9239192,Stop_329,Stop_330,Stop_329_to_Stop_330,1
14,Valletta - Pembroke P+R,Valletta A14,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:30,05:50,06:10,06:30,06:50,07:10,07:30,07:50,08:10,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:10,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,50,Valletta A14 - Il-Belt Valletta - MALTA STOP,14.5086508,35.894326,Stop_347,Stop_328,Stop_347_to_Stop_328,1
14,Valletta - Pembroke P+R,Pembroke Park & Ride 3,Pembroke,"Monday, Tuesday, Wednesday, Thursday, Friday",05:57,06:17,06:45,07:05,07:25,08:00,08:20,08:40,09:00,09:20,09:40,10:00,10:20,10:36,10:56,11:16,11:36,11:56,12:16,12:36,12:56,13:13,13:33,13:53,14:13,14:33,14:53,15:13,15:33,15:53,16:13,16:33,17:00,17:20,17:40,18:00,18:20,18:35,18:55,19:15,19:35,19:55,20:05,20:35,21:05,21:30,22:00,22:30,23:00,23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,50,Pembroke Park & Ride 3 - Pembroke - MALTA STOP,14.4786769,35.9241428,Stop_349,,,1
15,Valletta - Sliema,Valletta A15,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Valletta A15 - Il-Belt Valletta - MALTA STOP,14.5086503,35.8942679,Stop_355,Stop_328,Stop_355_to_Stop_328,1
21,Valletta - Sliema,Valletta B3,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",06:00,06:30,07:00,07:40,08:00,08:20,08:40,09:00,09:20,09:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,44,Valletta B3 - Il-Belt Valletta - MALTA STOP,14.509426,35.8941699,Stop_171,Stop_224,Stop_171_to_Stop_224,1
21,Valletta - Sliema,Ferries 1,Tas-Sliema,"Monday, Tuesday, Wednesday, Thursday, Friday",06:35,07:05,07:35,08:15,08:35,08:55,09:15,09:35,09:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:22,16:42,17:02,17:22,17:42,18:02,18:22,18:42,19:12,19:35,20:05,20:35,21:05,21:27,21:57,22:27,22:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,44,Ferries 1 - Tas-Sliema - MALTA STOP,14.5043403,35.9088426,Stop_384,,,1
22,Valletta - Birkirkara,Lieni,Birkirkara,"Monday, Tuesday, Wednesday, Thursday, Friday",06:20,07:00,07:30,07:57,08:17,08:37,08:57,09:17,09:37,09:57,10:17,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,13:17,13:37,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:05,19:25,19:45,20:05,20:25,21:00,21:20,21:50,22:20,23:00,23:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,48,Lieni - Birkirkara - MALTA STOP,14.465756,35.9004792,Stop_409,,,1
24,Valletta - San Gwann - Valletta,Valletta B4,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Valletta B4 - Il-Belt Valletta - MALTA STOP,14.5095571,35.8942012,Stop_412,Stop_224,Stop_412_to_Stop_224,1
58,Valletta - Birkirkara,Valletta C1,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:45,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:45,20:45,21:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,29,Valletta C1 - Il-Belt Valletta - MALTA STOP,14.5102076,35.8941582,Stop_575,Stop_224,Stop_575_to_Stop_224,1
58,Valletta - Birkirkara,Birkirkara 1,Birkirkara,"Monday, Tuesday, Wednesday, Thursday, Friday",06:05,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:40,16:10,16:40,17:10,17:40,18:05,18:35,19:05,20:00,21:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,29,Birkirkara 1 - Birkirkara - MALTA STOP,14.4650942,35.8953244,Stop_688,,,1
63,Valletta - Qormi Harifa,Valletta C6,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",06:00,06:20,06:40,07:00,07:20,07:40,08:00,08:20,08:40,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,21:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Valletta C6 - Il-Belt Valletta - MALTA STOP,14.5093034,35.8939313,Stop_752,Stop_224,Stop_752_to_Stop_224,1
63,Valletta - Qormi Harifa,Harifa,Hal Qormi,"Monday, Tuesday, Wednesday, Thursday, Friday",06:23,06:43,07:03,07:23,07:43,08:03,08:23,08:43,09:03,09:23,09:53,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:02,15:24,15:54,16:24,16:54,17:24,17:54,18:24,18:51,19:21,19:51,20:21,21:21,22:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Harifa - Hal Qormi - MALTA STOP,14.4631147,35.8773085,Stop_758,,,1
121,Xghajra - Pembroke P+R,Xghajra,Ix-Xghajra,"Monday, Tuesday, Wednesday, Thursday, Friday",20:35,21:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,2,Xghajra - Ix-Xghajra - MALTA STOP,14.5499339,35.8879016,Stop_968,Stop_969,Stop_968_to_Stop_969,1
