Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
X4,Valletta - Birzebbuga,Valletta B3,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:25,05:45,05:50,06:05,06:25,06:45,07:05,07:15,07:25,07:45,07:55,08:05,08:15,08:25,08:45,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05,20:35,21:05,21:35,22:05,22:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Valletta B3 - Il-Belt Valletta - MALTA STOP,14.509426,35.8941699,Stop_171,Stop_172,Stop_171_to_Stop_172,1
X4,Birzebbuga - Valletta,Valletta 18,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",06:02,06:17,06:27,06:37,06:47,07:07,07:17,07:37,07:47,08:07,08:27,08:49,09:06,09:26,09:46,10:06,10:26,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:16,14:46,15:16,15:53,16:31,17:01,17:31,18:01,18:26,18:39,19:13,19:40,20:05,20:35,21:05,21:35,22:05,22:45,23:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Valletta 18 - Il-Belt Valletta - MALTA STOP,14.5080061,35.8952138,Stop_190,,,1
71,Valletta - Zurrieq,Valletta A4,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:20,05:40,06:00,06:20,06:40,07:00,07:20,07:40,08:00,08:20,08:40,09:00,09:20,09:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:20,19:40,20:00,20:30,21:00,21:30,22:00,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,50,Valletta A4 - Il-Belt Valletta - MALTA STOP,14.5086557,35.8948953,Stop_772,Stop_224,Stop_772_to_Stop_224,1
72,Valletta - Qrendi,Valletta A5,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:25,05:45,06:05,06:25,06:45,07:05,07:25,07:45,08:05,08:25,08:45,09:05,09:25,09:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:25,18:45,19:05,19:25,19:45,20:05,20:25,20:55,21:25,21:55,22:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,50,Valletta A5 - Il-Belt Valletta - MALTA STOP,14.5086552,35.894836,Stop_805,Stop_224,Stop_805_to_Stop_224,1
80,Valletta - Birzebbuga,Valletta A8,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Valletta A8 - Il-Belt Valletta - MALTA STOP,14.5086537,35.8946638,Stop_853,Stop_246,Stop_853_to_Stop_246,1
82,Valletta - Birzebbuga,Valletta A7,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:15,05:39,06:03,06:15,06:39,07:03,07:15,07:39,08:03,08:15,08:39,09:03,09:15,09:39,10:03,10:40,11:00,11:40,12:00,12:40,13:00,13:40,14:00,14:40,15:00,15:43,15:55,16:00,16:31,16:43,17:07,17:31,17:43,18:07,18:31,18:43,19:07,19:31,19:43,20:07,20:31,21:28,22:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Valletta A7 - Il-Belt Valletta - MALTA STOP,14.5086543,35.8947297,Stop_878,Stop_246,Stop_878_to_Stop_246,1
85,Valletta - Marsaxlokk,Valletta A6,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:30,06:30,07:30,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Valletta A6 - Il-Belt Valletta - MALTA STOP,14.5086548,35.8947878,Stop_914,Stop_246,Stop_914_to_Stop_246,1
85,Valletta - Marsaxlokk,Xerriex,Marsaxlokk,"Monday, Tuesday, Wednesday, Thursday, Friday",06:05,07:05,08:05,09:05,10:05,11:12,12:12,13:12,14:12,15:12,16:12,17:12,18:12,19:05,20:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Xerriex - Marsaxlokk - MALTA STOP,14.5431487,35.8409636,Stop_57,,,1
88,Valletta - Gudja,Valletta A9,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Valletta A9 - Il-Belt Valletta - MALTA STOP,14.5086532,35.8946099,Stop_895,Stop_246,Stop_895_to_Stop_246,1
88,Valletta - Gudja,Gudja,Il-Gudja,"Monday, Tuesday, Wednesday, Thursday, Friday",06:15,06:50,07:20,07:50,08:17,08:47,09:17,09:47,10:17,10:47,11:17,11:47,12:17,12:47,13:17,13:47,14:17,14:47,15:17,15:50,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:40,20:10,20:40,21:10,21:40,22:10,22:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Gudja - Il-Gudja - MALTA STOP,14.5018512,35.8490937,Stop_927,,,1
