Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
1,Valletta - Isla,Valletta A2,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:30,05:50,06:10,06:30,06:50,07:10,07:30,07:50,08:10,08:30,08:50,09:10,09:40,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:40,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:10,19:30,19:50,20:10,20:30,21:00,21:30,22:00,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,44,Valletta A2 - Il-Belt Valletta - MALTA STOP,14.5086567,35.895019,Stop_280,Stop_246,Stop_280_to_Stop_246,1
1,Valletta - Isla,Isla,L-Isla,"Monday, Tuesday, Wednesday, Thursday, Friday",05:52,06:15,06:37,06:57,07:15,07:35,07:55,08:15,08:35,08:55,09:15,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:40,15:05,15:35,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:15,19:35,19:55,20:11,20:31,20:51,21:21,21:51,22:21,22:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,44,Isla - L-Isla - MALTA STOP,14.5169079,35.8877324,Stop_288,,,1
1,Isla - Valletta,Valletta 18,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",06:07,06:27,06:57,07:17,07:37,07:57,08:09,08:29,08:49,09:07,09:27,09:47,10:17,10:47,11:17,11:47,12:17,12:42,13:12,13:42,14:12,14:42,15:15,15:45,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:15,19:35,19:49,20:09,20:29,20:45,21:15,21:45,22:15,22:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,43,Valletta 18 - Il-Belt Valletta - MALTA STOP,14.5080061,35.8952138,Stop_190,,,1
2,Valletta - Birgu Centre,Birgu Centre,Il-Birgu,"Monday, Tuesday, Wednesday, Thursday, Friday",05:35,06:10,06:40,07:10,07:40,08:10,08:40,09:10,09:40,10:10,10:40,11:10,11:37,12:07,12:37,13:10,13:40,14:10,14:40,15:10,15:40,16:10,16:40,17:10,17:40,18:10,18:40,19:08,19:38,20:08,20:33,21:03,22:03,23:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Birgu Centre - Il-Birgu - MALTA STOP,14.5219238,35.8877686,Stop_299,,,1
3,Valletta - Kalkara,Valletta A3,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,35,Valletta A3 - Il-Belt Valletta - MALTA STOP,14.5086562,35.894953,Stop_319,Stop_246,Stop_319_to_Stop_246,1
83,Valletta - Sta Lucija,Valletta A9,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:00,05:25,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:30,21:30,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,33,Valletta A9 - Il-Belt Valletta - MALTA STOP,14.5086532,35.8946099,Stop_895,Stop_246,Stop_895_to_Stop_246,1
83,Valletta - Sta Lucija,Tursin,Santa Lucija,"Monday, Tuesday, Wednesday, Thursday, Friday",05:25,05:50,06:25,06:55,07:25,07:55,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:52,19:22,19:52,20:52,21:52,22:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,33,Tursin - Santa Lucija - MALTA STOP,14.5044013,35.8632321,Stop_863,,,1
90,Valletta - Zabbar,Valletta A10,Il-Belt Valletta,"Wednesday, Thursday, Friday, Monday, Tuesday",05:30,06:00,06:20,06:40,07:00,07:20,07:40,08:00,08:30,09:00,09:30,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,12,Valletta A10 - Il-Belt Valletta - MALTA STOP,14.5086528,35.8945547,Stop_932,Stop_246,Stop_932_to_Stop_246,1
120,Xghajra - Pembroke P+R,Pembroke Park & Ride 3,Pembroke,"Monday, Tuesday, Wednesday, Thursday, Friday",09:11,09:39,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:10,14:38,15:08,15:38,16:08,16:38,17:08,17:38,18:08,18:28,19:00,19:30,19:52,20:13,20:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,25,Pembroke Park & Ride 3 - Pembroke - MALTA STOP,14.4786769,35.9241428,Stop_349,,,1
120,Pembroke P+R - Xghajra,Pembroke Park & Ride 4,Pembroke,"Monday, Tuesday, Wednesday, Thursday, Friday",05:57,06:27,06:57,07:27,07:57,08:27,08:57,09:27,09:57,10:27,10:57,11:27,11:57,12:27,12:57,13:27,13:57,14:27,14:57,15:27,15:57,16:27,16:57,17:27,17:57,18:27,18:57,19:27,19:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,29,Pembroke Park & Ride 4 - Pembroke - MALTA STOP,14.4787048,35.9239192,Stop_329,Stop_330,Stop_329_to_Stop_330,1
