Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
50,Valletta - Rabat,Valletta C1,Il-Belt Valletta,"Wednesday, Thursday, Friday, Monday, Tuesday",06:05,06:25,06:45,07:05,07:25,07:45,08:05,08:25,08:45,15:55,16:25,16:55,17:25,17:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,14,Valletta C1 - Il-Belt Valletta - MALTA STOP,14.5102076,35.8941582,Stop_575,Stop_328,Stop_575_to_Stop_328,1
50,Valletta - Rabat,Rebha,"Ir-Rabat, Malta","Wednesday, Thursday, Friday, Monday, Tuesday",06:45,07:05,07:25,07:45,08:05,08:25,08:45,09:05,09:25,16:35,17:05,17:35,18:05,18:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,14,"Rebha - Ir-Rabat, Malta - MALTA STOP",14.3967529,35.8833675,Stop_585,,,1
50,Rabat - Valletta,Valletta 18,Il-Belt Valletta,"Wednesday, Thursday, Friday, Monday, Tuesday",06:20,06:40,07:00,07:30,07:50,08:10,08:30,08:50,09:10,17:25,17:55,18:20,18:50,19:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,14,Valletta 18 - Il-Belt Valletta - MALTA STOP,14.5080061,35.8952138,Stop_190,,,1
51,Valletta - Mtarfa,Valletta C2,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:40,06:10,06:40,07:10,07:40,08:10,08:40,09:10,09:40,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:40,15:10,15:40,16:10,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10,20:40,21:40,22:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,33,Valletta C2 - Il-Belt Valletta - MALTA STOP,14.5100364,35.8941176,Stop_590,Stop_224,Stop_590_to_Stop_224,1
54,Valletta - Attard,Valletta C3,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:35,06:05,06:35,07:05,07:25,07:45,08:05,08:25,08:45,09:05,09:25,09:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:25,18:45,19:05,19:35,20:05,20:35,21:05,21:35,22:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,46,Valletta C3 - Il-Belt Valletta - MALTA STOP,14.5098178,35.894068,Stop_642,Stop_328,Stop_642_to_Stop_328,1
56,Valletta - Dingli,Turretta,Had-Dingli,"Monday, Tuesday, Wednesday, Thursday, Friday",10:20,11:20,12:20,13:20,14:20,15:20,16:30,17:30,18:30,19:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,10,Turretta - Had-Dingli - MALTA STOP,14.3808138,35.8579766,Stop_679,,,1
61,Valletta - Zebbug,Valletta C4,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,21:00,21:30,22:00,22:30,,,,,,,,,,,,,,MALTA STOP,65,Valletta C4 - Il-Belt Valletta - MALTA STOP,14.5096322,35.8940369,Stop_689,Stop_224,Stop_689_to_Stop_224,1
61,Valletta - Zebbug,Kandlora,Haz-Zebbug,"Monday, Tuesday, Wednesday, Thursday, Friday",06:13,06:28,06:47,07:02,07:17,07:32,07:47,08:02,08:17,08:32,08:47,09:02,09:17,09:32,09:47,10:05,10:20,10:35,10:50,11:05,11:20,11:35,11:50,12:05,12:20,12:35,12:50,13:05,13:20,13:35,13:50,14:05,14:20,14:35,14:50,15:05,15:20,15:35,15:50,16:05,16:20,16:34,16:51,17:06,17:21,17:36,17:51,18:06,18:21,18:36,18:49,19:01,19:16,19:31,19:40,19:55,20:10,20:25,20:40,20:55,21:10,21:40,22:10,22:40,23:10,,,,,,,,,,,,,,MALTA STOP,65,Kandlora - Haz-Zebbug - MALTA STOP,14.4339403,35.870021,Stop_717,,,1
62,Valletta - Siggiewi,Valletta C5,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday",05:35,05:55,06:10,06:25,06:40,06:55,07:10,07:25,07:40,07:55,08:10,08:25,08:40,08:55,09:10,09:25,09:40,09:55,10:10,10:25,10:40,10:55,11:10,11:25,11:40,11:55,12:10,12:25,12:40,12:55,13:10,13:25,13:40,13:55,14:10,14:25,14:40,14:55,15:10,15:25,15:40,15:55,16:10,16:25,16:40,16:55,17:10,17:25,17:40,17:55,18:10,18:30,19:05,19:35,20:05,20:35,21:05,21:35,22:05,22:35,,,,,,,,,,,,,,,,,,,MALTA STOP,60,Valletta C5 - Il-Belt Valletta - MALTA STOP,14.5094924,35.8939926,Stop_727,Stop_224,Stop_727_to_Stop_224,1
109,Bahrija - Providenza,Bahrija,II-Bahrija,"Monday, Tuesday, Wednesday, Thursday, Friday",05:35,06:35,08:35,10:35,12:35,14:35,16:35,18:35,20:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,9,Bahrija - II-Bahrija - MALTA STOP,14.3465207,35.8950446,Stop_999,Stop_1000,Stop_999_to_Stop_1000,1
109,Bahrija - Providenza,Bajjada,Is-Siggiewi,"Monday, Tuesday, Wednesday, Thursday, Friday",06:40,07:40,09:40,11:40,13:40,15:40,17:30,19:30,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,9,Bajjada - Is-Siggiewi - MALTA STOP,14.4230349,35.834502,Stop_1013,,,1
186,Rabat - Bugibba,Bugibba Bay 1,Bugibba,"Monday, Tuesday, Wednesday, Thursday, Friday",06:40,07:10,07:40,08:10,08:40,09:10,09:40,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:40,15:10,15:40,16:10,16:48,17:18,17:48,18:18,18:43,19:13,19:43,19:58,20:28,20:58,21:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,31,Bugibba Bay 1 - Bugibba - MALTA STOP,14.4195519,35.9542639,Stop_157,,,1
186,Bugibba - Rabat,Bugibba Bay 6,Bugibba,"Monday, Tuesday, Wednesday, Thursday, Friday",06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05,20:35,21:05,21:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,32,Bugibba Bay 6 - Bugibba - MALTA STOP,14.4194797,35.9546596,Stop_158,Stop_159,Stop_158_to_Stop_159,1
202,Rabat - Sliema,Ferries 1,Tas-Sliema,"Monday, Tuesday, Wednesday, Thursday, Friday",07:13,07:58,08:28,08:58,09:28,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:55,15:25,15:55,16:25,16:55,17:30,18:00,18:30,18:55,19:25,20:13,21:08,22:08,22:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,29,Ferries 1 - Tas-Sliema - MALTA STOP,14.5043403,35.9088426,Stop_384,,,1
202,Sliema - Rabat,Ferries 5,Tas-Sliema,"Monday, Tuesday, Wednesday, Thursday, Friday",05:30,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:30,20:30,21:30,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,30,Ferries 5 - Tas-Sliema - MALTA STOP,14.5045631,35.9092782,Stop_232,Stop_238,Stop_232_to_Stop_238,1
