Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
117,Mater Dei - Mqabba,Universita 4,L-Imsida,"Monday, Tuesday, Wednesday, Thursday, Friday",06:09,07:09,08:09,09:08,10:08,11:08,12:08,13:08,14:08,15:08,16:08,17:08,18:08,19:08,20:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Universita 4 - L-Imsida - MALTA STOP,14.4798866,35.9011886,Stop_1029,Stop_692,Stop_1029_to_Stop_692,0
117,Mater Dei - Mqabba,Qaddisin,Hal Qormi,"Monday, Tuesday, Wednesday, Thursday, Friday",06:19,07:19,08:19,09:16,10:16,11:16,12:16,13:16,14:16,15:18,16:18,17:18,18:18,19:18,20:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Qaddisin - Hal Qormi - MALTA STOP,14.4838708,35.8801098,Stop_692,Stop_693,Stop_692_to_Stop_693,0
117,Mater Dei - Mqabba,Marsa Park & Ride 2,Il-Marsa,"Monday, Tuesday, Wednesday, Thursday, Friday",06:21,07:21,08:21,09:17,10:17,11:17,12:17,13:17,14:17,15:20,16:20,17:20,18:20,19:20,20:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Marsa Park & Ride 2 - Il-Marsa - MALTA STOP,14.4842364,35.8784074,Stop_693,Stop_3,Stop_693_to_Stop_3,0
117,Mater Dei - Mqabba,Ingieret,San Vincenz/Luqa,"Monday, Tuesday, Wednesday, Thursday, Friday",06:26,07:25,08:25,09:21,10:21,11:21,12:21,13:21,14:21,15:24,16:25,17:25,18:24,19:24,20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Ingieret - San Vincenz/Luqa - MALTA STOP,14.4826734,35.8709795,Stop_3,Stop_175,Stop_3_to_Stop_175,0
117,Mater Dei - Mqabba,Farrug,Hal Farrug,"Monday, Tuesday, Wednesday, Thursday, Friday",06:27,07:26,08:26,09:22,10:22,11:22,12:22,13:22,14:22,15:25,16:26,17:26,18:25,19:25,20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Farrug - Hal Farrug - MALTA STOP,14.4807103,35.8694297,Stop_175,Stop_176,Stop_175_to_Stop_176,0
117,Mater Dei - Mqabba,Duca,Hal Farrug,"Monday, Tuesday, Wednesday, Thursday, Friday",06:28,07:27,08:27,09:23,10:23,11:23,12:23,13:23,14:23,15:26,16:27,17:27,18:26,19:26,20:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Duca - Hal Farrug - MALTA STOP,14.481078,35.866682,Stop_176,Stop_177,Stop_176_to_Stop_177,0
117,Mater Dei - Mqabba,Schinas,Hal Farrug,"Monday, Tuesday, Wednesday, Thursday, Friday",06:29,07:28,08:28,09:24,10:24,11:24,12:24,13:25,14:25,15:28,16:28,17:28,18:27,19:27,20:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Schinas - Hal Farrug - MALTA STOP,14.4775705,35.8635925,Stop_177,Stop_178,Stop_177_to_Stop_178,0
117,Mater Dei - Mqabba,Tumas,Hal Luqa,"Monday, Tuesday, Wednesday, Thursday, Friday",06:30,07:29,08:29,09:25,10:25,11:25,12:25,13:26,14:26,15:29,16:29,17:29,18:28,19:28,20:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Tumas - Hal Luqa - MALTA STOP,14.4838603,35.8604352,Stop_178,Stop_28,Stop_178_to_Stop_28,0
117,Mater Dei - Mqabba,Azzopardi,Hal Luqa,"Monday, Tuesday, Wednesday, Thursday, Friday",06:31,07:30,08:30,09:26,10:26,11:26,12:26,13:27,14:27,15:30,16:30,17:30,18:29,19:29,20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Azzopardi - Hal Luqa - MALTA STOP,14.4847525,35.858038,Stop_28,Stop_2,Stop_28_to_Stop_2,0
117,Mater Dei - Mqabba,Mitjar,Hal Luqa,"Monday, Tuesday, Wednesday, Thursday, Friday",06:33,07:32,08:32,09:28,10:28,11:28,12:28,13:28,14:28,15:31,16:32,17:32,18:30,19:30,20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Mitjar - Hal Luqa - MALTA STOP,14.4869488,35.8556994,Stop_2,Stop_29,Stop_2_to_Stop_29,0
